Chamber,Sample,Sample,Sample,Sample,EvaGreen,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,In Range,Out Range,Peak Ratio,Comments
S59-A92,375,Unknown,1,Ref 361-362,Emp1,Test,Aldh1l1,11.23514559,1,Pass,0.023030415,-3.701437792,1,Pass,-5.097416451,1,Pass,-5.613973513,48.97499748,1,Pass,85.60396571,999,1,
S59-A93,375,Unknown,1,Ref 361-362,Cd14,Test,Aldh1l1,18.57898519,1,Pass,0.023030415,0.889929646,1,Pass,2.246423154,1,Pass,-1.022606075,2.03158549,1,Pass,85.8276307,999,1,
S59-A94,375,Unknown,1,Ref 361-362,Ggta1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S59-A95,375,Unknown,1,Ref 361-362,Ugt1a,Test,Aldh1l1,21.86363919,1,Pass,0.023030415,999,0,Fail,5.531077149,1,Pass,999,-1,0,Fail,82.41221476,999,1,
S59-A96,375,Unknown,1,Ref 361-362,Amigo2,Test,Aldh1l1,17.57517539,1,Pass,0.023030415,-0.630181078,1,Pass,1.242613355,1,Pass,-2.542716799,5.826852533,1,Pass,85.01899679,999,1,
S60-A01,377,Unknown,1,Ref 361-362,Rplp0,Reference,,7.000254411,1,Pass,0.023030415,-2.308373254,1,Pass,0.277717729,1,Pass,0.277717729,0.824894928,1,Pass,89.66576889,999,1,
S60-A02,377,Unknown,1,Ref 361-362,Cd84,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A03,377,Unknown,1,Ref 361-362,Mog,Test,Rplp0,23.99133416,1,Pass,0.023030415,999,0,Fail,17.26879748,1,Pass,999,-1,0,Fail,84.35129145,999,1,
S60-A04,377,Unknown,1,Ref 361-362,Steap4,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A05,377,Unknown,1,Ref 361-362,Cxcl10,Test,Aldh1l1,19.36876414,1,Pass,0.023030415,2.761092288,1,Pass,3.536082766,1,Pass,1.348437228,0.392717222,1,Pass,82.12756423,999,1,
S60-A06,377,Unknown,1,Ref 361-362,Serpina3n,Test,Aldh1l1,19.17201265,1,Pass,0.023030415,-0.921672434,1,Pass,3.339331272,1,Pass,-2.334327494,5.043158241,1,Pass,85.01465943,999,1,
S60-A07,377,Unknown,1,Ref 361-362,Clcf1,Test,Aldh1l1,13.40504469,1,Pass,0.023030415,-5.655218263,1,Pass,-2.427636688,1,Pass,-7.067873324,134.1658159,1,Pass,87.41754213,999,1,
S60-A08,377,Unknown,1,Ref 361-362,Sphk1,Test,Aldh1l1,13.16960734,1,Pass,0.023030415,-5.226921704,1,Pass,-2.663074041,1,Pass,-6.639576765,99.70381236,1,Pass,85.21536026,999,1,
S60-A09,377,Unknown,1,Ref 361-362,Slc10a6,Test,Aldh1l1,18.73918688,1,Pass,0.023030415,-4.120226275,1,Pass,2.906505498,1,Pass,-5.532881336,46.29810809,1,Pass,86.5675627,999,1,
S60-A10,377,Unknown,1,Ref 361-362,H2-T23,Test,Aldh1l1,15.31924189,1,Pass,0.023030415,-1.470660681,1,Pass,-0.513439488,1,Pass,-2.883315741,7.378439576,1,Pass,83.26596777,999,1,
S60-A11,377,Unknown,1,Ref 361-362,Iigp1,Test,Aldh1l1,19.95173287,1,Pass,0.023030415,0.075365589,1,Pass,4.119051488,1,Pass,-1.337289472,2.526761459,1,Pass,83.73766771,999,1,
S60-A12,377,Unknown,1,Ref 361-362,Fkbp5,Test,Aldh1l1,10.69930386,1,Pass,0.023030415,-2.767305091,1,Pass,-5.133377516,1,Pass,-4.179960151,18.12564151,1,Pass,82.40671764,999,1,
S60-A13,377,Unknown,1,Ref 361-362,Gfap,Test,Aldh1l1,9.966565648,1,Pass,0.023030415,-1.646776875,1,Pass,-5.86611573,1,Pass,-3.059431935,8.336442946,1,Pass,88.83164381,999,1,
S60-A14,377,Unknown,1,Ref 361-362,Ptprc (Cd45),Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A15,377,Unknown,1,Ref 361-362,Sox10,Test,Rplp0,24.06593212,1,Pass,0.023030415,-1.501877017,1,Pass,17.34339543,1,Pass,1.084213966,0.47164917,1,Pass,88.42452555,999,1,
S60-A16,377,Unknown,1,Ref 361-362,Steap4,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A17,377,Unknown,1,Ref 361-362,Cxcl10,Test,Aldh1l1,18.8757136,1,Pass,0.023030415,2.268041739,1,Pass,3.043032217,1,Pass,0.855386679,0.552717165,1,Pass,81.94447387,999,1,
S60-A18,377,Unknown,1,Ref 361-362,Serpina3n,Test,Aldh1l1,18.4887209,1,Pass,0.023030415,-1.604964186,1,Pass,2.656039519,1,Pass,-3.017619247,8.098300889,1,Pass,84.9076813,999,1,
S60-A19,377,Unknown,1,Ref 361-362,Clcf1,Test,Aldh1l1,13.4245448,1,Pass,0.023030415,-5.635718154,1,Pass,-2.408136578,1,Pass,-7.048373214,132.3645715,1,Pass,87.29184003,999,1,
S60-A20,377,Unknown,1,Ref 361-362,Sphk1,Test,Aldh1l1,13.06671864,1,Pass,0.023030415,-5.329810405,1,Pass,-2.765962742,1,Pass,-6.742465466,107.0740796,1,Pass,85.0858216,999,1,
S60-A21,377,Unknown,1,Ref 361-362,Slc10a6,Test,Aldh1l1,18.70801784,1,Pass,0.023030415,-4.151395309,1,Pass,2.875336465,1,Pass,-5.56405037,47.3092495,1,Pass,86.29460278,999,1,
S60-A22,377,Unknown,1,Ref 361-362,H2-T23,Test,Aldh1l1,14.98551466,1,Pass,0.023030415,-1.804387907,1,Pass,-0.847166714,1,Pass,-3.217042967,9.298789798,1,Pass,83.19839186,999,1,
S60-A23,377,Unknown,1,Ref 361-362,Iigp1,Test,Aldh1l1,19.95465041,1,Pass,0.023030415,0.078283132,1,Pass,4.121969032,1,Pass,-1.334371928,2.521656785,1,Pass,83.70555587,999,1,
S60-A24,377,Unknown,1,Ref 361-362,Fkbp5,Test,Aldh1l1,10.62712913,1,Pass,0.023030415,-2.839479826,1,Pass,-5.205552251,1,Pass,-4.252134886,19.05549112,1,Pass,82.32540717,999,1,
S60-A25,377,Unknown,1,Ref 361-362,Vim,Test,Aldh1l1,4.574992675,0.858330892,Pass,0.023030415,-3.03211909,0.858330892,Pass,-11.2576887,0.858330892,Pass,-4.444774151,21.77761638,0.858330892,Pass,87.70394967,999,1,
S60-A26,377,Unknown,1,Ref 361-362,Aif1 (Iba1),Test,Rplp0,17.99142966,1,Pass,0.023030415,-0.197417337,1,Pass,11.26889298,1,Pass,2.388673646,0.190957879,1,Pass,83.95430585,999,1,
S60-A27,377,Unknown,1,Ref 361-362,Mbp,Test,Rplp0,20.51072931,1,Pass,0.023030415,-2.71147596,1,Pass,13.78819263,1,Pass,-0.125384977,1.090798769,1,Pass,84.89356768,999,1,
S60-A28,377,Unknown,1,Ref 361-362,S1pr3,Test,Aldh1l1,12.33575945,1,Pass,0.023030415,-1.932010694,1,Pass,-3.496921925,1,Pass,-3.344665754,10.15885397,1,Pass,87.01133716,999,1,
S60-A29,377,Unknown,1,Ref 361-362,Cd44,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A30,377,Unknown,1,Ref 361-362,Aspg,Test,Aldh1l1,17.68048228,1,Pass,0.023030415,-3.45677812,1,Pass,1.847800899,1,Pass,-4.86943318,29.23111955,1,Pass,86.81064888,999,1,
S60-A31,377,Unknown,1,Ref 361-362,Tgm1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A32,377,Unknown,1,Ref 361-362,Cd109,Test,Aldh1l1,12.10745229,1,Pass,0.023030415,-3.774462027,1,Pass,-3.725229084,1,Pass,-5.187117087,36.43156555,1,Pass,79.7595518,999,1,
S60-A33,377,Unknown,1,Ref 361-362,Tm4sf1,Test,Aldh1l1,12.77136595,1,Pass,0.023030415,-3.34808955,1,Pass,-3.061315426,1,Pass,-4.760744611,27.10983845,1,Pass,84.43237558,999,1,
S60-A34,377,Unknown,1,Ref 361-362,Serping1,Test,Aldh1l1,17.81176297,1,Pass,0.023030415,0.834548448,1,Pass,1.979081595,1,Pass,-0.578106613,1.492888701,1,Pass,86.74005072,999,1,
S60-A35,377,Unknown,1,Ref 361-362,Gbp2,Test,Aldh1l1,12.27331306,1,Pass,0.023030415,-2.047596546,1,Pass,-3.559368321,1,Pass,-3.460251606,11.00625387,1,Pass,83.20722854,999,1,
S60-A36,377,Unknown,1,Ref 361-362,Psmb8,Test,Aldh1l1,14.88872289,1,Pass,0.023030415,-0.713614815,1,Pass,-0.943958487,1,Pass,-2.126269876,4.365872127,1,Pass,86.67157222,999,1,
S60-A37,377,Unknown,1,Ref 361-362,Nes,Test,Aldh1l1,11.27609364,1,Pass,0.023030415,-1.192342306,1,Pass,-4.556587734,1,Pass,-2.604997366,6.083903906,1,Pass,86.32577523,999,1,
S60-A38,377,Unknown,1,Ref 361-362,Tmem119,Test,Rplp0,18.79149449,1,Pass,0.023030415,-0.443581236,1,Pass,12.06895781,1,Pass,2.142509747,0.226485446,1,Pass,84.67906496,999,1,
S60-A39,377,Unknown,1,Ref 361-362,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A40,377,Unknown,1,Ref 361-362,S1pr3,Test,Aldh1l1,12.23983162,1,Pass,0.023030415,-2.027938524,1,Pass,-3.592849755,1,Pass,-3.440593584,10.85730084,1,Pass,86.9941131,999,1,
S60-A41,377,Unknown,1,Ref 361-362,Cd44,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A42,377,Unknown,1,Ref 361-362,Aspg,Test,Aldh1l1,17.44753383,1,Pass,0.023030415,-3.689726563,1,Pass,1.614852456,1,Pass,-5.102381623,34.35341516,1,Pass,86.78476092,999,1,
S60-A43,377,Unknown,1,Ref 361-362,Tgm1,Test,Aldh1l1,26.39597573,0,Fail,0.023030415,999,0,Fail,10.56329436,0,Fail,999,-1,0,Fail,999,999,0,
S60-A44,377,Unknown,1,Ref 361-362,Cd109,Test,Aldh1l1,12.05075669,1,Pass,0.023030415,-3.831157627,1,Pass,-3.781924685,1,Pass,-5.243812688,37.89177158,1,Pass,79.73160337,999,1,
S60-A45,377,Unknown,1,Ref 361-362,Tm4sf1,Test,Aldh1l1,12.93887515,1,Pass,0.023030415,-3.180580348,1,Pass,-2.893806223,1,Pass,-4.593235408,24.13801957,1,Pass,84.34173727,999,1,
S60-A46,377,Unknown,1,Ref 361-362,Serping1,Test,Aldh1l1,17.66182077,1,Pass,0.023030415,0.684606245,1,Pass,1.829139393,1,Pass,-0.728048815,1.656397368,1,Pass,86.68472005,999,1,
S60-A47,377,Unknown,1,Ref 361-362,Gbp2,Test,Aldh1l1,12.3492563,1,Pass,0.023030415,-1.971653304,1,Pass,-3.48342508,1,Pass,-3.384308365,10.44187121,1,Pass,83.17348821,999,1,
S60-A48,377,Unknown,1,Ref 361-362,Psmb8,Test,Aldh1l1,14.73913153,1,Pass,0.023030415,-0.863206175,1,Pass,-1.093549847,1,Pass,-2.275861235,4.842866506,1,Pass,86.60059369,999,1,
S60-A49,377,Unknown,1,Ref 361-362,Aldh1l1,Reference,,16.10854126,1,Pass,0.023030415,1.688514941,1,Pass,0.275859881,1,Pass,0.275859881,0.825957881,1,Pass,86.65920696,999,1,
S60-A50,377,Unknown,1,Ref 361-362,Nefl,Test,Rplp0,17.96396729,1,Pass,0.023030415,999,0,Fail,11.24143061,1,Pass,999,-1,0,Fail,85.01994379,999,1,
S60-A51,377,Unknown,1,Ref 361-362,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A52,377,Unknown,1,Ref 361-362,Timp1,Test,Aldh1l1,8.799351791,1,Pass,0.023030415,-3.182286283,1,Pass,-7.033329588,1,Pass,-4.594941343,24.16657879,1,Pass,83.0338402,999,1,
S60-A53,377,Unknown,1,Ref 361-362,Osmr,Test,Aldh1l1,11.2339259,1,Pass,0.023030415,-2.725769457,1,Pass,-4.598755475,1,Pass,-4.138424517,17.61123914,1,Pass,81.92919041,999,1,
S60-A54,377,Unknown,1,Ref 361-362,Vim,Test,Aldh1l1,4.729522222,0.909840741,Pass,0.023030415,-2.877589543,0.909840741,Pass,-11.10315916,0.909840741,Pass,-4.290244604,19.56556143,0.909840741,Pass,87.46802339,999,1,
S60-A55,377,Unknown,1,Ref 361-362,Ptx3,Test,Aldh1l1,13.6736718,1,Pass,0.023030415,-3.904868993,1,Pass,-2.159009576,1,Pass,-5.317524053,39.87808022,1,Pass,82.03696168,999,1,
S60-A56,377,Unknown,1,Ref 361-362,Ptgs2,Test,Aldh1l1,15.18405275,1,Pass,0.023030415,-2.587993429,1,Pass,-0.648628624,1,Pass,-4.000648489,16.00719359,1,Pass,82.01552004,999,1,
S60-A57,377,Unknown,1,Ref 361-362,B3gnt5,Test,Aldh1l1,12.63460532,1,Pass,0.023030415,-3.98497491,1,Pass,-3.198076055,1,Pass,-5.397629971,42.15494497,1,Pass,82.84679711,999,1,
S60-A58,377,Unknown,1,Ref 361-362,H2-D1,Test,Aldh1l1,17.39732084,1,Pass,0.023030415,0.631577755,1,Pass,1.564639459,1,Pass,-0.781077306,1.718413587,1,Pass,85.74581938,999,1,
S60-A59,377,Unknown,1,Ref 361-362,Fbln5,Test,Aldh1l1,24.30182169,1,Pass,0.023030415,999,0,Fail,8.469140309,1,Pass,999,-1,0,Fail,89.30510863,999,1,
S60-A60,377,Unknown,1,Ref 361-362,Srgn,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A61,377,Unknown,1,Ref 361-362,Glt1,Test,Aldh1l1,15.05324174,1,Pass,0.023030415,1.67521447,1,Pass,-0.779439643,1,Pass,0.262559409,0.833607747,1,Pass,83.28148934,999,1,
S60-A62,377,Unknown,1,Ref 361-362,Syt1,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A63,377,Unknown,1,Ref 361-362,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A64,377,Unknown,1,Ref 361-362,Timp1,Test,Aldh1l1,8.755004889,1,Pass,0.023030415,-3.226633185,1,Pass,-7.07767649,1,Pass,-4.639288245,24.92096874,1,Pass,83.0061024,999,1,
S60-A65,377,Unknown,1,Ref 361-362,Osmr,Test,Aldh1l1,11.20847477,1,Pass,0.023030415,-2.751220594,1,Pass,-4.624206612,1,Pass,-4.163875655,17.92468244,1,Pass,81.8964153,999,1,
S60-A66,377,Unknown,1,Ref 361-362,Vim,Test,Aldh1l1,4.664358361,0.888119454,Pass,0.023030415,-2.942753404,0.888119454,Pass,-11.16832302,0.888119454,Pass,-4.355408464,20.46956394,0.888119454,Pass,87.42880795,999,1,
S60-A67,377,Unknown,1,Ref 361-362,Ptx3,Test,Aldh1l1,13.62036786,1,Pass,0.023030415,-3.958172935,1,Pass,-2.212313519,1,Pass,-5.370827996,41.37903214,1,Pass,82.03976852,999,1,
S60-A68,377,Unknown,1,Ref 361-362,Ptgs2,Test,Aldh1l1,15.2583337,1,Pass,0.023030415,-2.513712478,1,Pass,-0.574347674,1,Pass,-3.926367539,15.20387895,1,Pass,81.98183621,999,1,
S60-A69,377,Unknown,1,Ref 361-362,B3gnt5,Test,Aldh1l1,12.5668486,1,Pass,0.023030415,-4.052731633,1,Pass,-3.265832778,1,Pass,-5.465386694,44.18199607,1,Pass,82.8268123,999,1,
S60-A70,377,Unknown,1,Ref 361-362,H2-D1,Test,Aldh1l1,17.44064928,1,Pass,0.023030415,0.674906195,1,Pass,1.607967899,1,Pass,-0.737748866,1.667571783,1,Pass,85.6357386,999,1,
S60-A71,377,Unknown,1,Ref 361-362,Fbln5,Test,Aldh1l1,25.76368149,1,Pass,0.023030415,999,0,Fail,9.931000107,1,Pass,999,-1,0,Fail,89.54842916,999,1,
S60-A72,377,Unknown,1,Ref 361-362,Srgn,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A73,377,Unknown,1,Ref 361-362,Aqp4,Test,Aldh1l1,14.66931509,1,Pass,0.023030415,0.855613962,1,Pass,-1.163366292,1,Pass,-0.557041099,1.471248657,1,Pass,86.89830399,999,1,
S60-A74,377,Unknown,1,Ref 361-362,Gabra1,Test,Rplp0,27.1112356,0.970997545,Pass,0.023030415,999,0,Fail,20.38869892,0.970997545,Pass,999,-1,0,Fail,86.10276964,999,1,
S60-A75,377,Unknown,1,Ref 361-362,Lcn2,Test,Aldh1l1,13.59679764,1,Pass,0.023030415,1.326642993,1,Pass,-2.235883734,1,Pass,-0.086012067,1.061432087,1,Pass,83.78972028,999,1,
S60-A76,377,Unknown,1,Ref 361-362,Hsbp1,Test,Aldh1l1,10.5685129,1,Pass,0.023030415,-5.314703815,1,Pass,-5.264168482,1,Pass,-6.727358875,105.9587468,1,Pass,86.82207602,999,1,
S60-A77,377,Unknown,1,Ref 361-362,Cp,Test,Aldh1l1,14.38317551,1,Pass,0.023030415,1.814015543,1,Pass,-1.449505865,1,Pass,0.401360483,0.757143949,1,Pass,81.96212131,999,1,
S60-A78,377,Unknown,1,Ref 361-362,Gfap,Test,Aldh1l1,9.990763395,1,Pass,0.023030415,-1.622579128,1,Pass,-5.841917983,1,Pass,-3.035234189,8.197785199,1,Pass,88.68596046,999,1,
S60-A79,377,Unknown,1,Ref 361-362,S100a10,Test,Aldh1l1,5.296679642,1,Pass,0.023030415,-3.396459386,1,Pass,-10.53600174,1,Pass,-4.809114446,28.03416989,1,Pass,81.92587851,999,1,
S60-A80,377,Unknown,1,Ref 361-362,Emp1,Test,Aldh1l1,9.875109607,1,Pass,0.023030415,-5.061473772,1,Pass,-5.957571771,1,Pass,-6.474128833,88.9010672,1,Pass,85.13774875,999,1,
S60-A81,377,Unknown,1,Ref 361-362,Cd14,Test,Aldh1l1,15.50975212,1,Pass,0.023030415,-2.179303432,1,Pass,-0.322929263,1,Pass,-3.591958492,12.05833234,1,Pass,85.36279659,999,1,
S60-A82,377,Unknown,1,Ref 361-362,Ggta1,Test,Aldh1l1,19.12623635,1,Pass,0.023030415,-3.725462828,1,Pass,3.293554972,1,Pass,-5.138117888,35.21499294,1,Pass,84.43172896,999,1,
S60-A83,377,Unknown,1,Ref 361-362,Ugt1a,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A84,377,Unknown,1,Ref 361-362,Amigo2,Test,Aldh1l1,16.70898553,1,Pass,0.023030415,-1.496370938,1,Pass,0.876304155,1,Pass,-2.909025999,7.511109335,1,Pass,84.80433931,999,1,
S60-A85,377,Unknown,1,Ref 361-362,Cx30,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A86,377,Unknown,1,Ref 361-362,Snap25,Test,Rplp0,17.31799238,1,Pass,0.023030415,0.252778201,1,Pass,10.5954557,1,Pass,2.838869184,0.139770404,1,Pass,81.81820272,999,1,
S60-A87,377,Unknown,1,Ref 361-362,Lcn2,Test,Aldh1l1,13.76798944,1,Pass,0.023030415,1.497834787,1,Pass,-2.06469194,1,Pass,0.085179727,0.942667094,1,Pass,83.88802191,999,1,
S60-A88,377,Unknown,1,Ref 361-362,Hsbp1,Test,Aldh1l1,10.70688709,1,Pass,0.023030415,-5.176329617,1,Pass,-5.125794285,1,Pass,-6.588984678,96.26801766,1,Pass,86.87424962,999,1,
S60-A89,377,Unknown,1,Ref 361-362,Cp,Test,Aldh1l1,14.28723773,1,Pass,0.023030415,1.718077764,1,Pass,-1.545443643,1,Pass,0.305422704,0.809205088,1,Pass,82.00452814,999,1,
S60-A90,377,Unknown,1,Ref 361-362,Gfap,Test,Aldh1l1,9.838616983,1,Pass,0.023030415,-1.77472554,1,Pass,-5.994064395,1,Pass,-3.1873806,9.109555126,1,Pass,88.74460774,999,1,
S60-A91,377,Unknown,1,Ref 361-362,S100a10,Test,Aldh1l1,5.451963711,1,Pass,0.023030415,-3.241175317,1,Pass,-10.38071767,1,Pass,-4.653830378,25.17343835,1,Pass,82.25767617,999,1,
S60-A92,377,Unknown,1,Ref 361-362,Emp1,Test,Aldh1l1,9.921550094,1,Pass,0.023030415,-5.015033285,1,Pass,-5.911131284,1,Pass,-6.427688346,86.08490307,1,Pass,85.61016172,999,1,
S60-A93,377,Unknown,1,Ref 361-362,Cd14,Test,Aldh1l1,15.79892703,1,Pass,0.023030415,-1.890128515,1,Pass,-0.033754347,1,Pass,-3.302783576,9.868176885,1,Pass,85.73729978,999,1,
S60-A94,377,Unknown,1,Ref 361-362,Ggta1,Test,Aldh1l1,19.98137118,1,Pass,0.023030415,-2.870327999,1,Pass,4.148689801,1,Pass,-4.282983059,19.46732914,1,Pass,84.89184122,999,1,
S60-A95,377,Unknown,1,Ref 361-362,Ugt1a,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S60-A96,377,Unknown,1,Ref 361-362,Amigo2,Test,Aldh1l1,17.27451248,1,Pass,0.023030415,-0.930843992,1,Pass,1.441831102,1,Pass,-2.343499052,5.075320931,1,Pass,85.00412329,999,1,
S61-A01,Ref 397-398-399,Reference,1,,Rplp0,Reference,,10.71911494,1,Pass,0.023030415,-0.26737626,1,Pass,-0.26737626,1,Pass,-0.26737626,1.203616893,1,Pass,89.61766244,999,1,
S61-A02,Ref 397-398-399,Reference,1,,Cd84,Test,Rplp0,21.58220087,1,Pass,0.023030415,-0.869206777,1,Pass,10.59570967,1,Pass,-0.869206777,1.82665829,1,Pass,84.47270356,999,1,
S61-A03,Ref 397-398-399,Reference,1,,Mog,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S61-A04,Ref 397-398-399,Reference,1,,Steap4,Test,Aldh1l1,21.99810623,1,Pass,0.023030415,-0.133577631,1,Pass,6.677230127,1,Pass,-0.133577631,1.097010726,1,Pass,86.06462902,999,1,
S61-A05,Ref 397-398-399,Reference,1,,Cxcl10,Test,Aldh1l1,16.17630275,1,Pass,0.023030415,-0.779159797,1,Pass,0.855426655,1,Pass,-0.779159797,1.716131134,1,Pass,82.24923382,999,1,
S61-A06,Ref 397-398-399,Reference,1,,Serpina3n,Test,Aldh1l1,22.48177979,1,Pass,0.023030415,-0.917690462,1,Pass,7.160903687,1,Pass,-0.917690462,1.889088725,1,Pass,84.91982189,999,1,
S61-A07,Ref 397-398-399,Reference,1,,Clcf1,Test,Aldh1l1,20.38220446,1,Pass,0.023030415,-1.472776693,1,Pass,5.061328355,1,Pass,-1.472776693,2.775555791,1,Pass,87.67507179,999,1,
S61-A08,Ref 397-398-399,Reference,1,,Sphk1,Test,Aldh1l1,19.59306054,1,Pass,0.023030415,-1.13364453,1,Pass,4.272184438,1,Pass,-1.13364453,2.194123192,1,Pass,85.0761254,999,1,
S61-A09,Ref 397-398-399,Reference,1,,Slc10a6,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S61-A10,Ref 397-398-399,Reference,1,,H2-T23,Test,Aldh1l1,15.27358084,1,Pass,0.023030415,-0.522304445,1,Pass,-0.047295256,1,Pass,-0.522304445,1.436247563,1,Pass,83.35455816,999,1,
S61-A11,Ref 397-398-399,Reference,1,,Iigp1,Test,Aldh1l1,19.9831823,1,Pass,0.023030415,-0.767864633,1,Pass,4.662306202,1,Pass,-0.767864633,1.70274764,1,Pass,83.84868121,999,1,
S61-A12,Ref 397-398-399,Reference,1,,Fkbp5,Test,Aldh1l1,14.34596691,1,Pass,0.023030415,-0.564501773,1,Pass,-0.974909189,1,Pass,-0.564501773,1.478876699,1,Pass,82.39951884,999,1,
S61-A13,Ref 397-398-399,Reference,1,,Gfap,Test,Aldh1l1,12.76711582,1,Pass,0.023030415,-0.689336065,1,Pass,-2.553760278,1,Pass,-0.689336065,1.612541249,1,Pass,88.85523358,999,1,
S61-A14,Ref 397-398-399,Reference,1,,Ptprc (Cd45),Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S61-A15,Ref 397-398-399,Reference,1,,Sox10,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S61-A16,Ref 397-398-399,Reference,1,,Steap4,Test,Aldh1l1,20.92591209,1,Pass,0.023030415,-1.205771773,1,Pass,5.605035986,1,Pass,-1.205771773,2.306606287,1,Pass,85.81475362,999,1,
S61-A17,Ref 397-398-399,Reference,1,,Cxcl10,Test,Aldh1l1,16.22108288,1,Pass,0.023030415,-0.734379674,1,Pass,0.900206778,1,Pass,-0.734379674,1.66368197,1,Pass,81.97721599,999,1,
S61-A18,Ref 397-398-399,Reference,1,,Serpina3n,Test,Aldh1l1,23.99488312,1,Pass,0.023030415,0.595412868,1,Pass,8.674007017,1,Pass,0.595412868,0.66185502,1,Pass,85.07552588,999,1,
S61-A19,Ref 397-398-399,Reference,1,,Clcf1,Test,Aldh1l1,20.56384048,1,Pass,0.023030415,-1.291140663,1,Pass,5.242964385,1,Pass,-1.291140663,2.447214674,1,Pass,87.2562288,999,1,
S61-A20,Ref 397-398-399,Reference,1,,Sphk1,Test,Aldh1l1,19.8734675,1,Pass,0.023030415,-0.853237572,1,Pass,4.552591396,1,Pass,-0.853237572,1.806550485,1,Pass,85.02918432,999,1,
S61-A21,Ref 397-398-399,Reference,1,,Slc10a6,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S61-A22,Ref 397-398-399,Reference,1,,H2-T23,Test,Aldh1l1,15.23951963,1,Pass,0.023030415,-0.55636566,1,Pass,-0.081356471,1,Pass,-0.55636566,1.470560011,1,Pass,83.27026687,999,1,
S61-A23,Ref 397-398-399,Reference,1,,Iigp1,Test,Aldh1l1,19.49975942,1,Pass,0.023030415,-1.251287512,1,Pass,4.178883323,1,Pass,-1.251287512,2.380537758,1,Pass,83.72691579,999,1,
S61-A24,Ref 397-398-399,Reference,1,,Fkbp5,Test,Aldh1l1,14.31466226,1,Pass,0.023030415,-0.59580642,1,Pass,-1.006213836,1,Pass,-0.59580642,1.511317128,1,Pass,82.35559403,999,1,
S61-A25,Ref 397-398-399,Reference,1,,Vim,Test,Aldh1l1,9.531501446,1,Pass,0.023030415,-0.448058892,1,Pass,-5.789374654,1,Pass,-0.448058892,1.364203521,1,Pass,87.67208992,999,1,
S61-A26,Ref 397-398-399,Reference,1,,Aif1 (Iba1),Test,Rplp0,23.2031924,1,Pass,0.023030415,1.985942515,1,Pass,12.21670119,1,Pass,1.985942515,0.252447883,1,Pass,84.16925299,999,1,
